time (s), ch0 acceleration (g)
0.000000,-0.003354
0.000997,-0.008678
0.001994,0.002742
0.002991,0.004175
0.003988,0.004099
0.004985,0.003473
0.005982,0.004363
0.006979,0.003725
0.007976,0.002877
0.008973,0.002718
0.009970,0.002179
0.010967,-0.000588
0.011964,-0.001376
0.012961,-0.006183
0.013958,0.007034
0.014955,0.100665
0.015952,0.020978
0.016949,-0.082737
0.017946,-0.132174
0.018943,-0.136085
0.019940,-0.116039
0.020937,-0.089642
0.021934,-0.055113
0.022931,-0.018237
0.023928,0.013424
0.024925,0.033919
0.025922,0.044216
0.026919,0.044212
0.027916,0.036316
0.028913,0.020970
0.029910,0.002506
0.030907,-0.016996
0.031904,-0.034286
0.032901,-0.048234
0.033898,-0.058580
0.034895,-0.066318
0.035892,-0.067264
0.036889,-0.061201
0.037886,-0.052599
0.038883,-0.043320
0.039880,-0.033426
0.040877,-0.023517
0.041874,-0.013827
0.042871,-0.004700
0.043868,0.002672
0.044865,0.008485
0.045862,0.013064
0.046859,0.016051
0.047856,0.017062
0.048853,0.015832
0.049850,0.013881
0.050847,0.011987
0.051844,0.009979
0.052841,0.007644
0.053838,0.004896
0.054835,0.002148
0.055833,-0.000773
0.056830,-0.003928
0.057827,-0.007247
0.058824,-0.010455
0.059821,-0.013042
0.060818,-0.015429
0.061815,-0.017282
0.062812,-0.018693
0.063809,-0.019972
0.064806,-0.021018
0.065803,-0.022060
0.066800,-0.023038
0.067797,-0.024066
0.068794,-0.024985
0.069791,-0.025843
0.070788,-0.026643
0.071785,-0.027440
0.072782,-0.028099
0.073779,-0.028377
0.074776,-0.028394
0.075773,-0.027970
0.076770,-0.026954
0.077767,-0.025593
0.078764,-0.024011
0.079761,-0.022296
0.080758,-0.020767
0.081755,-0.019548
0.082752,-0.018104
0.083749,-0.016657
0.084746,-0.015509
0.085743,-0.014114
0.086740,-0.012778
0.087737,-0.011404
0.088734,-0.010053
0.089731,-0.008656
0.090728,-0.007068
0.091725,-0.005446
0.092722,-0.003825
0.093719,-0.002540
0.094716,-0.001911
0.095713,-0.001840
0.096710,-0.002271
0.097707,-0.003192
0.098704,-0.004912
0.099701,-0.007584
0.100698,-0.011044
0.101695,-0.014781
0.102692,-0.018814
0.103689,-0.022697
0.104686,-0.025816
0.105683,-0.028223
0.106680,-0.029720
0.107677,-0.030232
0.108674,-0.030065
0.109671,-0.029296
0.110668,-0.027835
0.111665,-0.025940
0.112662,-0.023300
0.113659,-0.020915
0.114656,-0.018173
0.115653,-0.015444
0.116650,-0.013046
0.117647,-0.010697
0.118644,-0.008681
0.119641,-0.006838
0.120638,-0.005048
0.121635,-0.003523
0.122632,-0.002201
0.123629,-0.001090
0.124626,-0.000028
0.125623,0.000728
0.126620,0.001231
0.127617,0.001609
0.128614,0.001972
0.129611,0.002289
0.130608,0.002587
0.131605,0.002956
0.132602,0.003412
0.133599,0.003929
0.134596,0.004545
0.135593,0.005282
0.136590,0.006210
0.137587,0.007153
0.138584,0.008173
0.139581,0.009234
0.140578,0.010218
0.141575,0.011022
0.142572,0.011546
0.143569,0.012035
0.144566,0.012331
0.145563,0.012474
0.146560,0.012316
0.147557,0.011827
0.148554,0.010982
0.149551,0.009542
0.150548,0.007485
0.151545,0.004468
0.152542,0.000848
0.153539,-0.002489
0.154536,-0.005324
0.155533,-0.007259
0.156530,-0.008769
0.157527,-0.010674
0.158524,-0.012715
0.159521,-0.014765
0.160518,-0.016203
0.161515,-0.017482
0.162512,-0.017935
0.163509,-0.018428
0.164506,-0.017794
0.165503,-0.017250
0.166500,-0.015282
0.167498,-0.014286
0.168495,-0.011636
0.169492,-0.010844
0.170489,-0.007967
0.171486,-0.007501
0.172483,-0.004364
0.173480,-0.005676
0.174477,-0.002813
0.175474,-0.005391
0.176471,-0.002064
0.177468,-0.006798
0.178465,-0.002472
0.179462,-0.010398
0.180459,-0.003114
0.181456,-0.015343
0.182453,-0.002653
0.183450,-0.026502
0.184447,0.139354
0.185444,0.288828
0.186441,0.234249
0.187438,0.192311
0.188435,0.111129
0.189432,0.045186
0.190429,-0.023798
0.191426,-0.070240
0.192423,-0.114773
0.193420,-0.141113
0.194417,-0.161365
0.195414,-0.164056
0.196411,-0.161280
0.197408,-0.146456
0.198405,-0.127801
0.199402,-0.103820
0.200399,-0.081255
0.201396,-0.057786
0.202393,-0.037289
0.203390,-0.018231
0.204387,-0.003485
0.205384,0.008729
0.206381,0.017658
0.207378,0.024224
0.208375,0.028012
0.209372,0.029733
0.210369,0.029318
0.211366,0.027583
0.212363,0.025052
0.213360,0.022327
0.214357,0.019448
0.215354,0.016448
0.216351,0.013594
0.217348,0.010999
0.218345,0.008837
0.219342,0.007083
0.220339,0.005828
0.221336,0.004893
0.222333,0.004133
0.223330,0.003447
0.224327,0.003161
0.225324,0.003310
0.226321,0.003931
0.227318,0.004690
0.228315,0.004804
0.229312,0.004968
0.230309,0.005030
0.231306,0.006191
0.232303,0.006473
0.233300,0.006498
0.234297,0.005083
0.235294,0.005097
0.236291,0.005584
0.237288,0.005283
0.238285,0.004777
0.239282,0.003492
0.240279,0.004794
0.241276,0.005039
0.242273,0.004810
0.243270,0.008036
0.244267,0.007084
0.245264,0.009586
0.246261,0.010017
0.247258,0.009877
0.248255,0.011900
0.249252,0.011400
0.250249,0.009873
0.251246,0.007583
0.252243,0.004696
0.253240,0.000879
0.254237,-0.004103
0.255234,-0.011095
