time (s), ch0 acceleration (g), ch1 acceleration (g)
0.000000,-0.878024,-0.000220
0.000997,0.000094,-0.952828
0.001994,0.443377,-0.000029
0.002991,0.000051,-1.400467
0.003988,1.373299,0.000066
0.004985,0.000360,-0.570828
0.005982,1.051879,0.000504
0.006979,-0.000112,0.765908
0.007976,-0.237936,-0.000112
0.008973,-0.000218,1.416607
0.009970,-1.317766,0.000035
0.010967,-0.000019,0.774435
0.011964,-1.169155,-0.000059
0.012961,0.000253,-0.588773
0.013958,0.024489,0.000296
0.014955,0.000201,-1.410112
0.015952,1.201362,0.000520
0.016949,0.000371,-0.927852
0.017946,1.288897,0.000414
0.018943,0.000425,0.377824
0.019940,0.197287,0.000068
0.020937,0.000391,1.351402
0.021934,-1.089220,0.000539
0.022931,0.000627,1.094929
0.023928,-1.356672,-0.000185
0.024925,0.000697,-0.168434
0.025922,-0.395092,0.000045
0.026919,-0.000249,-1.287984
0.027916,0.919644,0.000222
0.028913,0.000178,-1.206096
0.029910,1.406710,0.000019
0.030907,0.000011,-0.044352
0.031904,0.609511,0.000448
0.032901,-0.000148,1.161041
0.033898,-0.759775,-0.000050
0.034895,-0.000245,1.315140
0.035892,-1.424376,-0.000004
0.036889,-0.000065,0.266021
0.037886,-0.780156,0.000164
0.038883,0.000216,-1.042292
0.039880,0.555134,0.000141
0.040877,0.000026,-1.375978
0.041874,1.398232,0.000435
0.042871,0.000628,-0.461089
0.043868,0.967211,0.000217
0.044865,0.000083,0.864067
0.045862,-0.356026,0.000006
0.046859,-0.000059,1.413080
0.047856,-1.357129,0.000090
0.048853,-0.000027,0.671980
0.049850,-1.096605,0.000347
0.050847,-0.000053,-0.696575
0.051844,0.140511,-0.000378
0.052841,-0.000000,-1.420171
0.053838,1.257516,-0.000532
0.054835,0.000125,-0.836435
0.055833,1.232059,-0.000874
0.056830,-0.000437,0.489012
0.057827,0.077611,-0.000194
0.058824,-0.000286,1.382097
0.059821,-1.162009,0.000515
0.060818,-0.000322,1.015425
0.061815,-1.315358,-0.000408
0.062812,-0.000619,-0.287020
0.063809,-0.282107,0.000220
0.064806,-0.000405,-1.333925
0.065803,1.005387,0.000282
0.066800,-0.000010,-1.139817
0.067797,1.385246,-0.000021
0.068794,-0.000627,0.071493
0.069791,0.499509,0.000584
0.070788,-0.000060,1.223806
0.071785,-0.858226,-0.000000
0.072782,-0.000148,1.264032
0.073779,-1.417749,0.000060
0.074776,-0.000014,0.147123
0.075773,-0.679034,-0.000045
0.076770,-0.000036,-1.119324
0.077767,0.661904,-0.000051
0.078764,0.000221,-1.339623
0.079761,1.411886,-0.000021
0.080758,-0.000141,-0.348342
0.081755,0.874175,-0.000112
0.082752,-0.000000,0.954140
0.083749,-0.473142,0.000189
0.084746,-0.000259,1.397314
0.085743,-1.387784,0.000020
0.086740,0.000172,0.564943
0.087737,-1.015394,0.000169
