time (s), HAT0_ch0 velocity (mm/s), HAT0_ch1 velocity (mm/s), HAT1_ch0 velocity (mm/s), HAT1_ch1 velocity (mm/s)
0.000000,-178.033365,0.811821,0.016707,-1.690359
0.000606,-183.339740,0.805216,0.016919,-1.784034
0.001211,-188.665336,0.780854,0.017507,-1.907129
0.001817,-191.349627,0.742170,0.017825,-2.009656
0.002423,-189.664552,0.694863,0.016926,-2.048851
0.003028,-183.341805,0.654078,0.015342,-2.001334
0.003634,-173.861553,0.631130,0.013909,-1.874856
0.004240,-163.771862,0.626471,0.014843,-1.706237
0.004846,-155.870691,0.638223,0.015373,-1.546916
0.005451,-152.197327,0.663296,0.016250,-1.446063
0.006057,-153.259966,0.688347,0.016170,-1.431697
0.006663,-157.958419,0.698131,0.017121,-1.500252
0.007268,-163.731108,0.689330,0.018270,-1.617578
0.007874,-167.802192,0.664263,0.014851,-1.734198
0.008480,-167.988339,0.625561,0.016038,-1.803026
0.009085,-163.449167,0.583393,0.016376,-1.791220
0.009691,-155.003244,0.552700,0.014476,-1.694022
0.010297,-144.948608,0.537513,0.014829,-1.538269
0.010902,-136.041891,0.536782,0.015021,-1.371848
0.011508,-130.782985,0.549978,0.013819,-1.246810
0.012114,-130.233145,0.570732,0.011621,-1.201252
0.012720,-133.950711,0.582242,0.013046,-1.244205
0.013325,-139.780549,0.578094,0.007956,-1.351983
0.013931,-144.923191,0.559716,0.006333,-1.478720
0.014537,-146.863360,0.529651,0.004650,-1.575391
0.015142,-144.222005,0.493604,0.004882,-1.602191
0.015748,-137.150031,0.464996,0.003611,-1.542477
0.016354,-127.517958,0.450827,0.005325,-1.411306
0.016959,-117.976697,0.450377,0.001090,-1.250036
0.017565,-111.270887,0.461736,-0.003411,-1.110401
0.018171,-109.052814,0.481573,-0.004925,-1.036901
0.018776,-111.461819,0.495515,-0.004225,-1.050234
0.019382,-116.940779,0.492736,-0.001465,-1.138434
0.019988,-122.775560,0.474383,-0.000847,-1.261969
0.020594,-126.260182,0.444222,-0.001654,-1.371324
0.021199,-125.510689,0.405450,-0.001844,-1.422346
0.021805,-120.072615,0.370833,0.000254,-1.389098
0.022411,-111.219402,0.352044,-0.002402,-1.274743
0.023016,-101.436701,0.349587,-0.001582,-1.113293
0.023622,-93.513443,0.361010,0.000698,-0.955171
0.024228,-89.656690,0.384549,0.001378,-0.850269
0.024833,-90.544598,0.408764,0.006598,-0.829661
0.025439,-95.294614,0.417570,0.005535,-0.893598
0.026045,-101.450567,0.408462,0.003352,-1.010923
0.026651,-106.221414,0.384515,0.002063,-1.133072
0.027256,-107.302962,0.348808,0.002088,-1.212042
0.027862,-103.683897,0.309940,-0.000988,-1.212975
0.028468,-95.964644,0.283342,-0.003826,-1.127623
0.029073,-86.332075,0.273506,-0.001350,-0.979096
0.029679,-77.511640,0.279128,-0.002240,-0.813918
0.030285,-72.105822,0.298582,-0.004545,-0.684591
0.030890,-71.362088,0.324781,-0.003288,-0.631841
0.031496,-75.029791,0.340942,-0.004418,-0.668388
0.032102,-81.127335,0.339207,-0.004811,-0.774140
0.032707,-86.865413,0.320960,-0.001855,-0.904943
0.033313,-89.652014,0.289180,-0.000867,-1.010759
0.033919,-87.940851,0.249364,0.002400,-1.050416
0.034525,-81.681975,0.216521,0.004437,-1.003503
0.035130,-72.572088,0.199536,0.003054,-0.881308
0.035736,-63.222870,0.198983,0.003369,-0.722818
0.036342,-56.410651,0.213030,0.004887,-0.579504
0.036947,-53.979959,0.238671,0.004582,-0.498052
0.037553,-56.242018,0.261774,0.004548,-0.502785
0.038159,-61.854864,0.269198,-0.000787,-0.585456
0.038764,-68.161811,0.259314,-0.006641,-0.709387
0.039370,-72.418090,0.234766,-0.006894,-0.824688
0.039976,-72.590697,0.198300,-0.006492,-0.886160
0.040581,-68.042150,0.161687,-0.009813,-0.864598
0.041187,-59.831436,0.137701,-0.009334,-0.759555
0.041793,-50.368906,0.128817,-0.010562,-0.601894
0.042399,-42.430784,0.134217,-0.013130,-0.441188
0.043004,-38.374547,0.152503,-0.013209,-0.328466
0.043610,-39.057927,0.175308,-0.015061,-0.298530
0.044216,-43.809884,0.186255,-0.018270,-0.355727
0.044821,-50.303132,0.181362,-0.017549,-0.472738
0.045427,-55.737801,0.162459,-0.017604,-0.602119
0.046033,-57.701471,0.132497,-0.018645,-0.695019
0.046638,-55.009132,0.098200,-0.019547,-0.714489
0.047244,-48.046612,0.074078,-0.023815,-0.647864
0.047850,-38.863822,0.065132,-0.024251,-0.514707
0.048455,-30.153813,0.069801,-0.025213,-0.358710
0.049061,-24.596561,0.085932,-0.028822,-0.231921
0.049667,-23.630588,0.109199,-0.030992,-0.176780
0.050273,-27.190056,0.123787,-0.033852,-0.209812
0.050878,-33.485534,0.120930,-0.033963,-0.314452
0.051484,-39.752603,0.102164,-0.030075,-0.448880
0.052090,-43.338658,0.071486,-0.029755,-0.563206
0.052695,-42.534687,0.034028,-0.029557,-0.614698
0.053301,-37.099540,0.003424,-0.025975,-0.580419
0.053907,-28.539494,-0.009494,-0.027458,-0.467976
0.054512,-19.414139,-0.005204,-0.022079,-0.313955
0.055118,-12.517432,0.013340,-0.020781,-0.169198
0.055724,-9.870266,0.042690,-0.020771,-0.082310
0.056329,-11.955833,0.069802,-0.016402,-0.080349
0.056935,-17.646965,0.079703,-0.016799,-0.159122
0.057541,-24.365189,0.070767,-0.017517,-0.284420
0.058147,-29.337616,0.045873,-0.019090,-0.406871
0.058752,-30.395223,0.008468,-0.023332,-0.480168
0.059358,-26.723250,-0.029968,-0.023748,-0.472449
0.059964,-19.165791,-0.054514,-0.024561,-0.379999
0.060569,-10.042059,-0.061083,-0.023311,-0.230204
0.061175,-2.109239,-0.051062,-0.023050,-0.071746
0.061781,2.145498,-0.025991,-0.027115,0.043670
0.062386,1.682558,0.006123,-0.025650,0.078243
0.062992,-3.029187,0.028005,-0.020211,0.023961
0.063598,-9.811270,0.032664,-0.018694,-0.094694
0.064204,-15.860958,0.020421,-0.021612,-0.231514
0.064809,-18.670444,-0.005932,-0.025807,-0.336695
0.065415,-16.881986,-0.040646,-0.024429,-0.370598
0.066021,-10.671645,-0.069220,-0.025925,-0.316872
0.066626,-1.935258,-0.084029,-0.025336,-0.191041
0.067232,6.667453,-0.084995,-0.027272,-0.034788
0.067838,12.398756,-0.072879,-0.027184,0.099690
0.068443,13.624468,-0.050555,-0.027637,0.167378
0.069049,10.231615,-0.031980,-0.030946,0.147767
0.069655,3.802841,-0.027587,-0.030123,0.052945
0.070260,-2.936436,-0.037286,-0.028472,-0.077898
0.070866,-7.283987,-0.058430,-0.025607,-0.195117
0.071472,-7.372031,-0.087654,-0.026458,-0.254653
0.072078,-2.770446,-0.113433,-0.026603,-0.230713
0.072683,5.222058,-0.125263,-0.028930,-0.126809
0.073289,14.103233,-0.123296,-0.029125,0.023638
0.073895,21.086386,-0.110072,-0.028416,0.170563
0.074500,23.978197,-0.086932,-0.029353,0.264612
0.075106,22.123597,-0.064777,-0.029661,0.275372
0.075712,16.432097,-0.058299,-0.027795,0.203213
0.076317,9.377762,-0.069925,-0.031012,0.079228
0.076923,3.750538,-0.095501,-0.031206,-0.048020
0.077529,1.843376,-0.130941,-0.031613,-0.131243
0.078134,4.644324,-0.166619,-0.032943,-0.136530
0.078740,11.529588,-0.188039,-0.033500,-0.056585
0.079346,20.290599,-0.191320,-0.034366,0.084626
0.079952,28.200416,-0.177536,-0.037103,0.240288
0.080557,32.667906,-0.150170,-0.038130,0.357765
0.081163,32.464829,-0.116564,-0.037908,0.397368
0.081769,27.869641,-0.094590,-0.037550,0.347332
0.082374,20.884951,-0.092500,-0.038969,0.229021
0.082980,14.304962,-0.108882,-0.035963,0.087193
0.083586,10.711929,-0.140278,-0.038717,-0.027862
0.084191,11.632326,-0.180733,-0.036547,-0.074920
0.084797,17.089782,-0.214996,-0.033510,-0.034474
0.085403,25.363826,-0.233555,-0.035077,0.081753
0.086008,33.833993,-0.234519,-0.035007,0.234128
0.086614,39.732076,-0.219163,-0.036406,0.370917
0.087220,41.232167,-0.190196,-0.037685,0.444593
0.087826,38.049138,-0.161917,-0.037382,0.431222
0.088431,31.551085,-0.148006,-0.035506,0.338992
0.089037,24.406611,-0.150390,-0.035320,0.205215
0.089643,19.354127,-0.166417,-0.035401,0.079220
0.090248,18.411330,-0.193540,-0.036001,0.006724
0.090854,22.189664,-0.222150,-0.037293,0.016490
0.091460,29.605948,-0.239661,-0.033698,0.108970
0.092065,38.231238,-0.243809,-0.033967,0.253955
0.092671,45.294899,-0.234788,-0.033007,0.402007
0.093277,48.451903,-0.213586,-0.031526,0.502749
0.093882,46.869180,-0.188281,-0.029824,0.522312
